name||set||set_code||id||type||power||toughness||loyalty||manacost||converted_manacost||artist||flavor||color||generated_mana||number||rarity||rating||ruling||variation||ability||pricing_low||pricing_mid||pricing_high||watermark||print_number||is_original||back_id||number_int||name_CN||name_TW||name_FR||name_DE||name_IT||name_JP||name_PT||name_RU||name_ES||name_KO||type_CN||type_TW||type_FR||type_DE||type_IT||type_JP||type_PT||type_RU||type_ES||type_KO||ability_CN||ability_TW||ability_FR||ability_DE||ability_IT||ability_JP||ability_PT||ability_RU||ability_ES||ability_KO||flavor_CN||flavor_TW||flavor_FR||flavor_DE||flavor_IT||flavor_JP||flavor_PT||flavor_RU||flavor_ES||flavor_KO||color_identity||fully_handled||custom_sort||legality_Block||legality_Standard||legality_Modern||legality_Legacy||legality_Vintage||legality_Highlander||legality_French_Commander||legality_Tiny_Leaders_Commander||legality_Leviathan_Commander||legality_Commander||legality_Peasant||legality_Pauper||
Abandoned Sarcophagus||Hour of Devastation||HOU||430847||Artifact||||||||{3}||3||Daarken||#_Although long since dead, the banished dissenters finally took their vengeance._#||A||||158||R||5||£6/27/2017 : A token permanent with cycling will go to your graveyard before ceasing to exist. It won’t be exiled. Similarly, a nontoken permanent that lost cycling while it was on the battlefield will also go to your graveyard.£6/27/2017 : If you cycle an instant card, you may cast it from your graveyard right away before any player may take any other action. If you do, that spell will resolve before the cycling ability. If you cycle a noninstant card without flash, you can’t cast it until after the cycling ability has resolved.£6/27/2017 : Abandoned Sarcophagus doesn’t grant you permission to do anything with those cards except cast them. For example, you can’t cycle nonland cards with cycling from your graveyard.£6/27/2017 : Certain older cards have variants of cycling, such as basic landcycling or Wizardcycling. Abandoned Sarcophagus’s effect lets you cast these cards and exiles them if they weren’t discarded for their cycling variant’s ability.||||You may cast nonland cards with cycling from your graveyard.£If a card with cycling would be put into your graveyard from anywhere and it wasn't cycled, exile it instead.||||||||||1||True||||158||遭弃石椁||遭棄石槨||Sarcophage abandonné||Verlassener Sarkophag||Sarcofago Abbandonato||見捨てられた石棺||Sarcófago Abandonado||Брошенный Саркофаг||Sarcófago abandonado||버려진 석관||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Abrade||Hour of Devastation||HOU||430772||Instant||||||||{1}{R}||2||Jonas De Ro||#_The desert is a voracious beast, devouring both flesh and stone._#||R||||83||U||5||||||Choose one —£• Abrade deals 3 damage to target creature.£• Destroy target artifact.||||||||||1||True||||83||风化侵蚀||風化侵蝕||Fissuration||Aufscheuern||Abrasione||削剥||Abrasão||Истирание||Erosionar||마멸||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Accursed Horde||Hour of Devastation||HOU||430745||Creature — Zombie||3||3||||{3}{B}||4||Victor Adame Minguez||||B||||56||U||5||£6/27/2017 : Accursed Horde’s ability can target itself while it’s attacking.£6/27/2017 : The target Zombie gains indestructible for the rest of the turn, even after it stops being an attacking creature.||||{1}{B}: Target attacking Zombie gains indestructible until end of turn. #_(Damage and effects that say "destroy" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)_#||||||||||1||True||||56||受诅尸群||受詛屍群||Horde maudite||Verfluchte Horde||Orda Maledetta||呪われた大群||Horda Amaldiçoada||Проклятая Орда||Horda maldita||저주받은 군단||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Act of Heroism||Hour of Devastation||HOU||430690||Instant||||||||{1}{W}||2||Magali Villeneuve||#_"On every plane, there are those who run toward danger."£—Gideon Jura_#||W||||1||C||5||£6/27/2017 : You can cast Act of Heroism even if the target creature won’t be able to block right away, perhaps because you’re the attacking player.£6/27/2017 : Untapping an attacking creature doesn’t remove it from combat.£6/27/2017 : Act of Heroism can target an untapped creature. It still gets +2/+2 and can block an additional creature.£6/27/2017 : The effects of Act of Heroism are cumulative. If multiples resolve targeting the same creature, that creature can block that many additional creatures this turn.||||Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.||||||||||1||True||||1||英勇义举||英勇義舉||Acte héroïque||Heldentat||Atto di Eroismo||英雄的行動||Ato de Heroísmo||Героический Подвиг||Acto de heroísmo||영웅적인 행동||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Adorned Pouncer||Hour of Devastation||HOU||430691||Creature — Cat||1||1||||{1}{W}||2||Slawomir Maniak||||W||||2||R||5||£6/27/2017 : For each card with eternalize, a corresponding game play supplement token can be found in some Hour of Devastation booster packs. These supplements are not required to play with cards with eternalize; you can use the same items to represent an eternalized token as you would any other token.£6/27/2017 : If a creature card with eternalize is put into your graveyard during your main phase, you’ll have priority immediately afterward. You can activate its eternalize ability before any player can try to exile it, such as with Crook of Condemnation, if it’s legal for you to do so.£6/27/2017 : Once you’ve activated an eternalize ability, the card is immediately exiled. Opponents can’t try to stop the ability by exiling the card with an effect such as that of Crook of Condemnation.£6/27/2017 : The token copies exactly what was printed on the original card and nothing else, except the characteristics specifically modified by eternalize. It doesn’t copy any information about the object the card was before it was put into your graveyard.£6/27/2017 : The token is a Zombie in addition to its other types and is black instead of its other colors. Its base power and toughness are 4/4. It has no mana cost, and thus its converted mana cost is 0. These are copiable values of the token that other effects may copy.||||Double strike£Eternalize {3}{W}{W} #_({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Cat with no mana cost. Eternalize only as a sorcery.)_#||||||||||1||True||||2||佩饰扑击猫||佩飾撲擊貓||Bondisseur paré||Geschmückte Raubkatze||Assalitore Ornato||典雅な襲撃者||Saltador Adornado||Украшенная Хищница||Acechador ornamentado||치장한 맹수||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Aerial Guide||Hour of Devastation||HOU||430718||Creature — Drake||2||2||||{2}{U}||3||Sidharth Chaturvedi||#_"Kefnet taught us to turn obstacles into advantages."£—Neponem, vizier of Kefnet_#||U||||29||C||5||||||Flying£Whenever Aerial Guide attacks, another target attacking creature gains flying until end of turn.||||||||||1||True||||29||翔空向导||翔空嚮導||Guide aérien||Fliegender Wegefinder||Guida Aerea||空からの導き手||Guia Aéreo||Воздушный Проводник||Guía aéreo||공중 길잡이||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Ambuscade||Hour of Devastation||HOU||430799||Instant||||||||{2}{G}||3||Kev Walker||#_"Spent a lifetime learning from predators. Picked up a few tricks."_#||G||||110||C||5||£6/27/2017 : If the creature you control leaves the battlefield before Ambuscade resolves, Ambuscade has no effect and no damage is dealt. If the creature an opponent controls leaves the battlefield instead, the creature you control gets +1/+0 even though it won’t deal any damage.||||Target creature you control gets +1/+0 until end of turn. It deals damage equal to its power to target creature an opponent controls.||||||||||1||True||||110||突然袭击||突然襲擊||Traquenard||Überraschungsangriff||Agguato||待ち伏せ||Cilada||Засада||Asechanza||매복 공격||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Ammit Eternal||Hour of Devastation||HOU||430746||Creature — Zombie Crocodile Demon||5||5||||{2}{B}||3||Mike Bierek||||B||||57||R||5||£6/27/2017 : Ammit Eternal’s middle ability will resolve before the spell that caused it to trigger. The ability will resolve even if that spell is countered.£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Afflict 3 #_(Whenever this creature becomes blocked, defending player loses 3 life.)_#£Whenever an opponent casts a spell, put a -1/-1 counter on Ammit Eternal.£Whenever Ammit Eternal deals combat damage to a player, remove all -1/-1 counters from it.||||||||||1||True||||57||永生阿米特||永生阿米特||Éternel ammout||Verewigtes Ammit||Ammit Eterno||アムムトの永遠衆||Eterno Ammit||Вековечная Амат||Eterno ammit||암무트 영생자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Angel of Condemnation||Hour of Devastation||HOU||430692||Creature — Angel||3||3||||{2}{W}{W}||4||Slawomir Maniak||||W||||3||R||5||£4/18/2017 : You can’t exert a creature unless an effect allows you to do so. Similar effects that “tap and freeze” a creature (such as that of Decision Paralysis) don’t exert that creature.£4/18/2017 : If an exerted creature is already untapped during your next untap step (most likely because it had vigilance or an effect untapped it), exert’s effect preventing it from untapping expires without having done anything.£4/18/2017 : If you gain control of another player’s creature until end of turn and exert it, it will untap during that player’s untap step.£6/27/2017 : Auras attached to the exiled creature will be put into their owners’ graveyards. Any Equipment will become unattached and remain on the battlefield. Any counters on the exiled permanent will cease to exist.£6/27/2017 : If a creature token is exiled this way, it will cease to exist and won’t return to the battlefield.£6/27/2017 : If Angel of Condemnation leaves the battlefield before its first activated ability resolves, the target creature is still exiled. That card returns to the battlefield even if Angel of Condemnation has left the battlefield before the next end step.£6/27/2017 : If Angel of Condemnation leaves the battlefield before its last ability resolves, the target creature won’t be exiled.£6/27/2017 : The card exiled with Angel of Condemnation’s last ability returns to the battlefield immediately after Angel of Condemnation leaves the battlefield. Nothing happens between the two events, including state-based actions.£6/27/2017 : Tapping Angel of Condemnation to activate either of its abilities while it’s attacking doesn’t remove it from combat.£6/27/2017 : Some cards in the Hour of Devastation set let you exert a creature as a cost to activate one of its abilities. You can exert it to pay that cost even if you’ve already exerted it earlier in the turn. Exerting it multiple times will keep it tapped only during your next untap step.||||Flying, vigilance£{2}{W}, {T}: Exile another target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.£{2}{W}, {T}, Exert Angel of Condemnation: Exile another target creature until Angel of Condemnation leaves the battlefield. #_(An exerted creature won't untap during your next untap step.)_#||||||||||1||True||||3||判罪天使||判罪天使||Ange de la réprobation||Engel der Verdammnis||Angelo della Condanna||糾弾の天使||Anjo da Condenação||Ангел Осуждения||Ángel de la condenación||규탄의 천사||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Angel of the God-Pharaoh||Hour of Devastation||HOU||430693||Creature — Angel||4||4||||{4}{W}{W}||6||E. M. Gist||#_The angels did not deceive. From the start, they were clear their allegiance was to the God-Pharaoh and to him alone._#||W||||4||U||5||||||Flying£Cycling {2} #_({2}, Discard this card: Draw a card.)_#||||||||||1||True||||4||法老神天使||法老神天使||Ange du Dieu-Pharaon||Engel des Gott-Pharaos||Angelo del Dio Faraone||王神の天使||Anjo do Faraó-Deus||Ангел Бога-Фараона||Ángel del Dios Faraón||신 파라오의 천사||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
