TCGSet,setComponent-href,_id,rarity,number,TCGName
"Unhinged","http://shop.tcgplayer.com/price-guide/magic/unhinged","a37907","U","","Persecute Artist"
"Battle for Zendikar","http://shop.tcgplayer.com/price-guide/magic/battle-for-zendikar","a105575","U","233","Blighted Woodland"
"Ravnica","http://shop.tcgplayer.com/price-guide/magic/ravnica","a13283","U","","Flame-Kin Zealot"
"Apocalypse","http://shop.tcgplayer.com/price-guide/magic/apocalypse","a8023","C","","Shield of Duty and Reason"
"New Phyrexia","http://shop.tcgplayer.com/price-guide/magic/new-phyrexia","a39574","C","","Rotted Hystrix"
"Judge Promos","http://shop.tcgplayer.com/price-guide/magic/judge-promos","a39029","P","","Morphling"
"Visions","http://shop.tcgplayer.com/price-guide/magic/visions","a5833","C","","Elven Cache"
"Alliances","http://shop.tcgplayer.com/price-guide/magic/alliances","a4146","U","42","Force of Will"
"Magic 2015 (M15)","http://shop.tcgplayer.com/price-guide/magic/magic-2015-m15","a91065","M","1","Ajani Steadfast"
"Fallen Empires","http://shop.tcgplayer.com/price-guide/magic/fallen-empires","a3722","C","","Orcish Spy (Camp)"
"7th Edition","http://shop.tcgplayer.com/price-guide/magic/7th-edition","a3042","C","","Razorfoot Griffin"
"Anthologies","http://shop.tcgplayer.com/price-guide/magic/anthologies","a79542","S","14","Goblin Recruiter"
"Unlimited Edition","http://shop.tcgplayer.com/price-guide/magic/unlimited-edition","a9140","L","","Mountain (A)"
"Duel Decks: Jace vs. Chandra","http://shop.tcgplayer.com/price-guide/magic/duel-decks-jace-vs-chandra","a37017","C","","Incinerate"
"Archenemy","http://shop.tcgplayer.com/price-guide/magic/archenemy","a37203","L","","Plains"
"Duel Decks: Elves vs. Goblins","http://shop.tcgplayer.com/price-guide/magic/duel-decks-elves-vs-goblins","a37743","R","","Siege-Gang Commander"
"Battle for Zendikar","http://shop.tcgplayer.com/price-guide/magic/battle-for-zendikar","a105675","U","46","Serene Steward"
"Commander 2015","http://shop.tcgplayer.com/price-guide/magic/commander-2015","a107985","R","226","Lotleth Troll"
"Magic 2011 (M11)","http://shop.tcgplayer.com/price-guide/magic/magic-2011-m11","a35394","C","31","Silvercoat Lion"
"Odyssey","http://shop.tcgplayer.com/price-guide/magic/odyssey","a9440","R","","Tombfire"
"Fate Reforged","http://shop.tcgplayer.com/price-guide/magic/fate-reforged","a95237","R","84","Soulflayer"
"9th Edition","http://shop.tcgplayer.com/price-guide/magic/9th-edition","a12678","C","","Goblin Raider"
"Fifth Edition","http://shop.tcgplayer.com/price-guide/magic/fifth-edition","a2049","R","","Blinking Spirit"
"Magic Origins","http://shop.tcgplayer.com/price-guide/magic/magic-origins","a100388","U","148","Ghirapur Aether Grid"
"Commander 2015","http://shop.tcgplayer.com/price-guide/magic/commander-2015","a108136","C","331","Swamp (331)"
"Modern Masters 2017","http://shop.tcgplayer.com/price-guide/magic/modern-masters-2017","a129126","T","3","Soldier Token (White)"
"Duel Decks: Nissa vs. Ob Nixilis","http://shop.tcgplayer.com/price-guide/magic/duel-decks-nissa-vs-ob-nixilis","a122214","C","40","Blistergrub"
"Invasion","http://shop.tcgplayer.com/price-guide/magic/invasion","a7476","R","","Distorting Wake"
"Time Spiral","http://shop.tcgplayer.com/price-guide/magic/time-spiral","a18506","L","287","Island (287)"
"Duel Decks: Divine vs. Demonic","http://shop.tcgplayer.com/price-guide/magic/duel-decks-divine-vs-demonic","a36796","U","","Barter in Blood"
"Collector's Edition","http://shop.tcgplayer.com/price-guide/magic/collectors-edition","a97648","R","","Two-Headed Giant of Foriys (CE)"
"Kaladesh","http://shop.tcgplayer.com/price-guide/magic/kaladesh","a123075","R","101","Syndicate Trafficker"
"Revised Edition","http://shop.tcgplayer.com/price-guide/magic/revised-edition","a1514","U","","Ornithopter"
"Premium Deck Series: Slivers","http://shop.tcgplayer.com/price-guide/magic/premium-deck-series-slivers","a37068","L","40","Mountain (40)"
"Fourth Edition","http://shop.tcgplayer.com/price-guide/magic/fourth-edition","a1925","C","","Sisters of the Flame"
"Time Spiral","http://shop.tcgplayer.com/price-guide/magic/time-spiral","a14183","C","251","Chromatic Star"
"Modern Masters 2017","http://shop.tcgplayer.com/price-guide/magic/modern-masters-2017","a128658","C","23","Sensor Splicer"
"Khans of Tarkir","http://shop.tcgplayer.com/price-guide/magic/khans-of-tarkir","a93273","U","79","Mer-Ek Nightblade"
"Beta Edition","http://shop.tcgplayer.com/price-guide/magic/beta-edition","a8764","R","","Fork"
"Unlimited Edition","http://shop.tcgplayer.com/price-guide/magic/unlimited-edition","a9231","R","","Time Walk"
"Tempest","http://shop.tcgplayer.com/price-guide/magic/tempest","a5618","R","","Magmasaur"
"Legends","http://shop.tcgplayer.com/price-guide/magic/legends","a3978","U","","Primordial Ooze"
"Modern Masters","http://shop.tcgplayer.com/price-guide/magic/modern-masters","a68273","M","","Kiki-Jiki, Mirror Breaker"
"8th Edition","http://shop.tcgplayer.com/price-guide/magic/8th-edition","a18342","L","331","Plains (331)"
"Beta Edition","http://shop.tcgplayer.com/price-guide/magic/beta-edition","a8756","U","","Flashfires"
"Scars of Mirrodin","http://shop.tcgplayer.com/price-guide/magic/scars-of-mirrodin","a36421","C","","Razorfield Thresher"
"Duel Decks: Izzet vs. Golgari","http://shop.tcgplayer.com/price-guide/magic/duel-decks-izzet-vs-golgari","a66309","U","","Dreg Mangler"
"Gatecrash","http://shop.tcgplayer.com/price-guide/magic/gatecrash","a67487","U","10","Debtor's Pulpit"
"Zendikar","http://shop.tcgplayer.com/price-guide/magic/zendikar","a71501","C","","Plains (233) - Full Art"
"Prerelease Cards","http://shop.tcgplayer.com/price-guide/magic/prerelease-cards","a38372","P","","Djinn Illuminatus"
"Dragons of Tarkir","http://shop.tcgplayer.com/price-guide/magic/dragons-of-tarkir","a96469","R","169","Zurgo Bellstriker"
"Revised Edition (Foreign Black Border)","http://shop.tcgplayer.com/price-guide/magic/revised-edition-foreign-black-border","a109712","R","","Dancing Scimitar"
"Torment","http://shop.tcgplayer.com/price-guide/magic/torment","a9751","R","","Hell-Bent Raider"
"Amonkhet","http://shop.tcgplayer.com/price-guide/magic/amonkhet","a129750","U","233","Oketra's Monument"
"Duel Decks: Elves vs. Goblins","http://shop.tcgplayer.com/price-guide/magic/duel-decks-elves-vs-goblins","a37724","U","","Goblin Burrows"
"Born of the Gods","http://shop.tcgplayer.com/price-guide/magic/born-of-the-gods","a79107","C","41","Floodtide Serpent"
"7th Edition","http://shop.tcgplayer.com/price-guide/magic/7th-edition","a2976","C","","Lone Wolf"
"From the Vault: Twenty","http://shop.tcgplayer.com/price-guide/magic/from-the-vault-twenty","a70791","M","14","Char"
"Premium Deck Series: Slivers","http://shop.tcgplayer.com/price-guide/magic/premium-deck-series-slivers","a37049","U","","Armor Sliver"
"Chronicles","http://shop.tcgplayer.com/price-guide/magic/chronicles","a3398","C","","Ghazban Ogre"
"Magic 2011 (M11)","http://shop.tcgplayer.com/price-guide/magic/magic-2011-m11","a35519","U","","Ajani's Pridemate"
"Commander Anthology","http://shop.tcgplayer.com/price-guide/magic/commander-anthology","a131959","R","3","Angel of Finality"
"Portal","http://shop.tcgplayer.com/price-guide/magic/portal","a734","U","","Nature's Ruin"
"Oversize Cards","http://shop.tcgplayer.com/price-guide/magic/oversize-cards","a37283","S","","Isle of Vesuva (Planechase)"
"Lorwyn","http://shop.tcgplayer.com/price-guide/magic/lorwyn","a15566","U","124","Makeshift Mannequin"
"Shadowmoor","http://shop.tcgplayer.com/price-guide/magic/shadowmoor","a18632","U","","Flow of Ideas"
"Visions","http://shop.tcgplayer.com/price-guide/magic/visions","a5940","U","","Teferi's Honor Guard"
"Apocalypse","http://shop.tcgplayer.com/price-guide/magic/apocalypse","a8024","C","","Shimmering Mirage"
"Commander","http://shop.tcgplayer.com/price-guide/magic/commander","a47408","U","","Vampire Nighthawk"
"Commander Anthology","http://shop.tcgplayer.com/price-guide/magic/commander-anthology","a133632","U","164","Wall of Blossoms"
