links,links-href,card,rarity,number
"Commander 2016","http://shop.tcgplayer.com/price-guide/magic/commander-2016","Swords to Plowshares","U","78"
"Fifth Edition","http://shop.tcgplayer.com/price-guide/magic/fifth-edition","Karplusan Forest","R",""
"Revised Edition (Foreign White Border)","http://shop.tcgplayer.com/price-guide/magic/revised-edition-foreign-white-border","Forest (B)","L","286"
"Duel Decks: Heroes vs. Monsters","http://shop.tcgplayer.com/price-guide/magic/duel-decks-heroes-vs-monsters","Dragon Blood","U","67"
"Dissension","http://shop.tcgplayer.com/price-guide/magic/dissension","Valor Made Real","C",""
"9th Edition","http://shop.tcgplayer.com/price-guide/magic/9th-edition","Diabolic Tutor","U",""
"Kaladesh","http://shop.tcgplayer.com/price-guide/magic/kaladesh","Empyreal Voyager","U","180"
"Eventide","http://shop.tcgplayer.com/price-guide/magic/eventide","Nightsky Mimic","C",""
"Timeshifted","http://shop.tcgplayer.com/price-guide/magic/timeshifted","Avatar of Woe","R",""
"Magic 2014 (M14)","http://shop.tcgplayer.com/price-guide/magic/magic-2014-m14","Forest (248)","L","248"
"Gatecrash","http://shop.tcgplayer.com/price-guide/magic/gatecrash","Skarrg Goliath","R","133"
"Timeshifted","http://shop.tcgplayer.com/price-guide/magic/timeshifted","Orcish Librarian","R",""
"Revised Edition (Foreign White Border)","http://shop.tcgplayer.com/price-guide/magic/revised-edition-foreign-white-border","Shatter","C",""
"Oversize Cards","http://shop.tcgplayer.com/price-guide/magic/oversize-cards","Karplusan Forest (Oversized)","P",""
"Modern Masters 2017","http://shop.tcgplayer.com/price-guide/magic/modern-masters-2017","Kraken Hatchling","C","42"
"Beta Edition","http://shop.tcgplayer.com/price-guide/magic/beta-edition","Pearled Unicorn","C",""
"Magic 2013 (M13)","http://shop.tcgplayer.com/price-guide/magic/magic-2013-m13","Dark Favor","C","86"
"Tempest","http://shop.tcgplayer.com/price-guide/magic/tempest","Island (Crashing Waves)","L","314"
"Alliances","http://shop.tcgplayer.com/price-guide/magic/alliances","Gorilla Chieftain (2 Gorillas)","C","78"
"Duels of the Planeswalkers","http://shop.tcgplayer.com/price-guide/magic/duels-of-the-planeswalkers","Giant Spider","C","67"
"Duel Decks: Ajani vs. Nicol Bolas","http://shop.tcgplayer.com/price-guide/magic/duel-decks-ajani-vs-nicol-bolas","Spite // Malice","U",""
"7th Edition","http://shop.tcgplayer.com/price-guide/magic/7th-edition","Pit Trap","U",""
"Prophecy","http://shop.tcgplayer.com/price-guide/magic/prophecy","Wintermoon Mesa","R","143"
"Morningtide","http://shop.tcgplayer.com/price-guide/magic/morningtide","Floodchaser","C",""
"Weatherlight","http://shop.tcgplayer.com/price-guide/magic/weatherlight","Guided Strike","C",""
"Coldsnap","http://shop.tcgplayer.com/price-guide/magic/coldsnap","Steam Spitter","U",""
"Time Spiral","http://shop.tcgplayer.com/price-guide/magic/time-spiral","Jhoira's Timebug","C",""
"Dragons of Tarkir","http://shop.tcgplayer.com/price-guide/magic/dragons-of-tarkir","Ojutai Interceptor","C","66"
"Commander 2015","http://shop.tcgplayer.com/price-guide/magic/commander-2015","Rite of Replication","R","105"
